Label,id,node
"Abel Sorenson|Schiffer Prints Division, Mil-Art Co., Inc.",831,831
"George Nelson|Schiffer Prints Division, Mil-Art Co., Inc.",832,832
Marcel Breuer|Gebrüder Thonet GmbH,833,833
Joseph Santore,834,834
John McNamara,835,835
Jeff Gompertz,836,836
Phoebe Adams,837,837
Blanche Lazzell,838,838
Christopher Hewat,839,839
April Gornik,840,840
"Norman Bel Geddes|Simmons Furniture Company, Chicago, Illinois",841,841
"V'Soske, Inc.|Michael Graves",842,842
Edward Ruscha,843,843
Anne Ryan,844,844
Joseph Floch,845,845
Mel Kendrick,846,846
John Duff,847,847
Kay Kurt,848,848
Richard Meier|Swid Powell,849,849
Gwathmey Siegel|Swid Powell,850,850
Stanley Tigerman|Swid Powell,851,851
Robert A. M. Stern|Swid Powell,852,852
Robert Venturi|Swid Powell,853,853
Peter Solow,854,854
Alfred Levitt,855,855
Joe Baker,856,856
James Valerio,857,857
Thomas Nozkowski,858,858
David Humphrey,859,859
Sean Scully,860,860
David Campbell,861,861
David Kapp,862,862
George Peck,863,863
Betty Woodman,864,864
Suzy Frelinghuysen,865,865
Esphyr Slobodkina,866,866
Luis Cruz Azaceta,867,867
Eva Lisa (Pipsan) Saarinen Swanson|Tiffin Glass Company,868,868
Louise Nevelson,869,869
Mia Westerlund Roosen,870,870
Cynthia Carlson,871,871
Robert Jessup,872,872
Donald Judd,873,873
José de Rivera,874,874
Robert Gruen|Unknown Manufacturer,875,875
George L.K. Morris,876,876
Charles Sheeler,877,877
Albert Eugene Gallatin,878,878
Arakawa,879,879
Alvin Lustig,880,880
Ed Rossbach,881,881
Sam Messer,882,882
Marianne Strengell,883,883
Marianne Strengell|Knoll Textiles,884,884
Eugene Brodsky,885,885
Joel Janowitz,886,886
Ralph Hamilton,887,887
Deborah Butterfield,888,888
Mary Ann Currier,889,889
Gregory Paquette,890,890
Kem Weber|Grand Rapids Chair Company,891,891
Gertrud Natzler|Otto Natzler,892,892
Jules Kirschenbaum,893,893
Lee Jaffe,894,894
Clyde Connell,895,895
Carole Seborovski,896,896
Juan Gonzalez,897,897
Ruth Reeves|Karagheusian,898,898
Ruth Kao Lee,899,899
William L. Haney,900,900
Stone Roberts,901,901
Eliel Saarinen|Eero Saarinen,902,902
Jean A. Mann,903,903
Robert Motherwell,904,904
Kurt Seligmann,905,905
Jane Dickson,906,906
John Hull,907,907
Elaine Lustig Cohen,908,908
Glenn Goldberg,909,909
Richard Tuttle,910,910
Alison Saar,911,911
Hermine Ford,912,912
Peter Fletcher,913,913
Ron Janowich,914,914
Barry Ledoux,915,915
Cheryl Laemmle,916,916
Bernard Sanders,917,917
Bernard Karfiol,918,918
Edward Laning,919,919
Ed Rainey,920,920
Jim Waid,921,921
Harmony Hammond,922,922
Sheila Hicks|Atelier Philippe Hecquet Aubusson,923,923
Melissa Meyer,924,924
Tamara de Lempicka,925,925
Lucas Samaras,926,926
László Moholy-Nagy,927,927
Frank Gallo,928,928
Cyril David,929,929
Tom Fellner,930,930
Royce Howes,931,931
Louise Fishman,932,932
Laverne Originals|Estelle Laverne,933,933
Harry Jackson,934,934
Paul Stankard,935,935
Louise (Loja) Gesellius Saarinen,936,936
Nob+Non|Knoll Textiles,937,937
"Reuben Haley|Consolidated Lamp and Glass Company, Art Glassware Division, Coraopolis, PA",938,938
Toshiko Takaezu,939,939
Kem Weber|Lawson Time Inc.,940,940
Ethel Stein,941,941
Michael Higgins,942,942
Marisol,943,943
Catherine Murphy,944,944
Karen Karnes,945,945
Charles Eames|Ray Eames|Evans Products Company,946,946
Joel Perlman,947,947
Donald Sultan,948,948
Kevin Larmon,949,949
Scot Borofsky,950,950
Marie Zimmermann,951,951
Sheila Hicks,952,952
Robert Greene,953,953
Saul Baizerman,954,954
Varujan Boghosian,955,955
Ross Littell|William Katavolos|Douglas Kelley,956,956
Frederick Brosen,957,957
Wanda Gag,958,958
Arnold Friedman,959,959
Alan Sonfist,960,960
Douglas Hoagg,961,961
Michael Zwack,962,962
Wesley Kimler,963,963
Max Coyer,964,964
Robert Mangold,965,965
Ephraim Rubenstein,966,966
John Beerman,967,967
Roberto Juarez,968,968
Philip Grausman,969,969
Chuck Close,970,970
Steve Hawley,971,971
"David Hockney|Tyler Graphics, Ltd.",972,972
David Reed,973,973
James Rosen,974,974
Frank Gehry|Easy Edges Inc.,975,975
Arturo Rodriguez,976,976
Jack Beal,977,977
SunarHauserman|Michael Graves,978,978
Ethel Schwabacher,979,979
Claire Zeisler,980,980
Elenhank Designers Inc.|Eleanor McMaster|Henry C. Kluck II,981,981
Florence Knoll Bassett|Knoll,982,982
Robert Guinan,983,983
Ben-Zion,984,984
Rudolf Ray,985,985
Howard Cook,986,986
Honoré Sharrer,987,987
Noemi Raymond|Knoll,988,988
Rudulph Evans,989,989
H.C. Westermann,990,990
Abraham Rattner|Itche Mambush Workshop,991,991
Samuel Abraham Marx,992,992
"Samuel Abraham Marx|William J. Quigley, Inc.",993,993
Edgar Miller|Cecile E. Coverley,994,994
"Donald Deskey|Royal Metal Manufacturing Company, Chicago, Illinois",995,995
Elsa Rady,996,996
Ruth Reeves,997,997
Charles Arnoldi,998,998
Edward McKnight Kauffer,999,999
Ida Applebroog,1000,1000
"Thomas S. Buechner, III",1001,1001
Jonathan Janson,1002,1002
Saul Steinberg,1003,1003
Paul Manes,1004,1004
Steve Currie,1005,1005
Eda Mirsky Mann,1006,1006
Katherine Bowling,1007,1007
Neil Jenney,1008,1008
Robert Venturi|Formica Corporation,1009,1009
Sam Maloof,1010,1010
Michael Graves,1011,1011
V. Lorenzo Porcelli|Dansk International Designs Ltd.,1012,1012
Domenic Cretara,1013,1013
Jaime Suárez,1014,1014
C.B. Blake|Karl Danielson|Tiffany & Co.,1015,1015
Susan Laufer,1016,1016
Kent Bellows,1017,1017
Jim Sullivan,1018,1018
Peter Waite,1019,1019
Max Miller,1020,1020
Sabina Ott,1021,1021
Alfred Maurer,1022,1022
Angelo Ippolito,1023,1023
James Romberger,1024,1024
Lydia Dona,1025,1025
Donald Shambroom,1026,1026
Ursula von Rydingsvard,1027,1027
Robin Winters,1028,1028
Massimo Vignelli|Lella Vignelli|Casigliani s.r.l.,1029,1029
Susan Crile,1030,1030
David Krueger,1031,1031
Peter Saul,1032,1032
Nancy Fried,1033,1033
Herb Aach,1034,1034
Virginia Jaramillo,1035,1035
Pat Lasch,1036,1036
Lia Cook,1037,1037
Massimo Vignelli|Venini S.p.a.,1038,1038
Massimo Vignelli|Lella Vignelli|Venini S.p.a.,1039,1039
Rose Cabat,1040,1040
Troy Brauntuch,1041,1041
Julian Schnabel,1042,1042
Nancy Grossman,1043,1043
Elizabeth Murray,1044,1044
Richard Lindner,1045,1045
George Constant,1046,1046
Edwin Schlossberg,1047,1047
Julian Levi,1048,1048
Dorothy Eisner,1049,1049
Andrew Spence,1050,1050
Robert Bordo,1051,1051
Randall Deihl,1052,1052
Timothy Lowly,1053,1053
Jill Levine,1054,1054
Altoon Sultan,1055,1055
Howard Kanovitz,1056,1056
Robert Bechtle,1057,1057
Juan Sanchez,1058,1058
George Dudding,1059,1059
Katherine Porter,1060,1060
Helen Miranda Wilson,1061,1061
Ronald Bladen,1062,1062
Costantino Nivola,1063,1063
D. J. Hall,1064,1064
Susan Holcomb,1065,1065
Ray Smith,1066,1066
John Newman,1067,1067
Joan Mitchell,1068,1068
"Revere Copper and Brass Company, Rome, NY|Peter Müller-Munk",1069,1069
Steubenville Pottery Company|Russel Wright,1070,1070
Gary Stephan,1071,1071
Mark Greenwold,1072,1072
Lella Vignelli|Massimo Vignelli|Heller Incorporated,1073,1073
Lella Vignelli|Massimo Vignelli,1074,1074
Aaron Fink,1075,1075
Benny Andrews,1076,1076
Waylande Gregory,1077,1077
Judy Ledgerwood,1078,1078
Salle Werner Vaughn,1079,1079
John Koch,1080,1080
Horace Brodzky|Alfred J. Frueh,1081,1081
Rupert Deese,1082,1082
Concetta Mason,1083,1083
Hugo Robus,1084,1084
Sally M. Avery,1085,1085
Lawrence Edward Kupferman,1086,1086
Faith Ringgold,1087,1087
Frank Rebajes,1088,1088
Frederick Serger,1089,1089
Lella Vignelli|Massimo Vignelli|San Lorenzo,1090,1090
Carol Hepper,1091,1091
James DeWoody,1092,1092
William Dunlap,1093,1093
"George Ranalli|Environments Plus, Inc.",1094,1094
Joe Andoe,1095,1095
Sandra Fisher,1096,1096
"Isamu Noguchi|Ozeki & Co., Ltd.",1097,1097
Charles Shaw,1098,1098
Robert Cumming,1099,1099
Vincent Desiderio,1100,1100
Ford Crull,1101,1101
Paul Burlin,1102,1102
Liliana Porter,1103,1103
Adán Hernández,1104,1104
Susan Davidoff,1105,1105
